industry_category,stock_id,stock_name,type
半導體業,3536,誠創,twse
電子零組件業,3537,堡達,tpex
電腦及週邊設備業,3540,曜越,tpex
其他電子業,3541,西柏,tpex
光電業,3543,州巧,twse
半導體業,3545,敦泰,twse
文化創意業,3546,宇峻,tpex
電子零組件業,3548,兆利,tpex
電子零組件業,3550,聯穎,twse
其他電子業,3551,世禾,tpex
其他電子業,3552,同致,tpex
半導體業,3555,重鵬,tpex
半導體業,3556,禾瑞亞,tpex
其他,3557,嘉威,twse
通信網路業,3558,神準,tpex
半導體業,3559,全智科,twse
光電業,3561,昇陽光電,twse
光電業,3563,牧德,twse
通信網路業,3564,其陽,tpex
半導體業,3567,逸昌,tpex
資訊服務業,3570,大塚,tpex
光電業,3573,穎台,twse
光電業,3576,聯合再生,twse
電腦及週邊設備業,3577,泓格,tpex
半導體業,3579,尚志,twse
其他電子業,3580,友威科,tpex
半導體業,3581,博磊,tpex
半導體業,3583,辛耘,twse
光電業,3584,介面,twse
其他電子業,3587,閎康,tpex
半導體業,3588,通嘉,twse
光電業,3591,艾笛森,twse
電子零組件業,3593,力銘,twse
電腦及週邊設備業,3594,磐儀,tpex
通信網路業,3596,智易,twse
電子零組件業,3597,映興,tpex
半導體業,3598,奕力,twse
光電業,3599,旺能,twse
電子零組件業,3605,宏致,twse
電子零組件業,3607,谷崧,twse
電子零組件業,3609,東林,tpex
電腦及週邊設備業,3611,鼎翰,tpex
半導體業,3614,誠致,twse
光電業,3615,安可,tpex
其他電子業,3617,碩天,twse
光電業,3622,洋華,twse
光電業,3623,富晶通,tpex
電子零組件業,3624,光頡,tpex
電腦及週邊設備業,3625,西勝,tpex
其他電子業,3628,盈正,tpex
文化創意業,3629,地心引力,tpex
光電業,3630,新鉅科,tpex
電子零組件業,3631,晟楠,tpex
通信網路業,3632,研勤,tpex
半導體業,3638,F-IML,twse
其他電子業,3642,駿熠電,tpex
電子零組件業,3645,達邁,twse
電子零組件業,3646,艾恩特,tpex
電腦及週邊設備業,3652,精聯,tpex
電子零組件業,3653,健策,twse
半導體業,3661,世芯-KY,twse
其他電子業,3663,鑫科,tpex
通信網路業,3664,安瑞-KY,tpex
其他電子業,3665,貿聯-KY,twse
光電業,3666,光耀,tpex
光電業,3669,圓展,twse
通信網路業,3672,康聯訊,tpex
光電業,3673,TPK-KY,twse
半導體業,3675,德微,tpex
電子零組件業,3679,新至陞,twse
半導體業,3680,家登,tpex
通信網路業,3682,亞太電,twse
通信網路業,3684,榮昌,tpex
光電業,3685,元創精密,tpex
半導體業,3686,達能,twse
電子商務業,3687,歐買尬,tpex
電子零組件業,3689,湧德,tpex
光電業,3691,碩禾,tpex
電腦及週邊設備業,3693,營邦,tpex
通信網路業,3694,海華,twse
半導體業,3697,F-晨星,twse
光電業,3698,隆達,twse
電腦及週邊設備業,3701,大眾控,twse
電子通路業,3702,大聯大,twse
建材營造,3703,欣陸,twse
通信網路業,3704,合勤控,twse
生技醫療業,3705,永信,twse
電腦及週邊設備業,3706,神達,twse
半導體業,3707,漢磊,tpex
化學工業,3708,上緯投控,twse
電腦及週邊設備業,3709,鑫聯大投控,tpex
電子零組件業,3710,連展投控,tpex
半導體業,3711,日月光投控,twse
電腦及週邊設備業,3712,永崴投控,twse
光電業,3713,新晶投控,tpex
光電業,3714,富采,twse
生技醫療業,4102,永日,tpex
生技醫療業,4104,佳醫,twse
生技醫療業,4105,東洋,tpex
生技醫療業,4106,雃博,twse
生技醫療業,4107,邦特,tpex
生技醫療業,4108,懷特,twse
生技醫療業,4109,加捷生醫,tpex
生技醫療業,4111,濟生,tpex
建材營造,4113,聯上,tpex
生技醫療業,4114,健喬,tpex
生技醫療業,4116,明基醫,tpex
生技醫療業,4119,旭富,twse
生技醫療業,4120,友華,tpex
生技醫療業,4121,優盛,tpex
生技醫療業,4123,晟德,tpex
生技醫療業,4126,太醫,tpex
生技醫療業,4127,天良,tpex
生技醫療業,4128,中天,tpex
生技醫療業,4129,聯合,tpex
生技醫療業,4130,健亞,tpex
生技醫療業,4131,晶宇,tpex
生技醫療業,4133,亞諾法,twse
生技醫療業,4137,麗豐-KY,twse
生技醫療業,4138,曜亞,tpex
生技醫療業,4139,馬光-KY,tpex
生技醫療業,4141,龍燈-KY,twse
生技醫療業,4142,國光生,twse
生技醫療業,4144,康聯-KY,twse
生技醫療業,4147,中裕,tpex
生技醫療業,4148,全宇生技-KY,twse
生技醫療業,4152,台微體,tpex
生技醫療業,4153,鈺緯,tpex
生技醫療業,4154,康樂-KY,tpex
生技醫療業,4155,訊映,twse
生技醫療業,4157,太景*-KY,tpex
生技醫療業,4160,創源,tpex
生技醫療業,4161,聿新科,tpex
生技醫療業,4162,智擎,tpex
生技醫療業,4163,鐿鈦,tpex
生技醫療業,4164,承業醫,twse
生技醫療業,4167,松瑞藥,tpex
生技醫療業,4168,醣聯,tpex
農業科技業,4171,瑞基,tpex
生技醫療業,4173,久裕,tpex
